time: Fri Aug  2 16:51:43 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 28.20 %
time: Fri Aug  2 16:51:43 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.091 %
time: Fri Aug  2 16:51:44 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.590 %
time: Fri Aug  2 16:51:45 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.088 %
time: Fri Aug  2 16:51:46 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 6.457 %
time: Fri Aug  2 16:51:47 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 6.457 %
time: Fri Aug  2 16:51:47 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 7.797 %
time: Fri Aug  2 16:51:48 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 7.797 %
time: Fri Aug  2 16:51:49 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.459 %
time: Fri Aug  2 16:51:50 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.789 %
time: Fri Aug  2 16:51:51 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.119 %
time: Fri Aug  2 16:51:51 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 14.31 %
time: Fri Aug  2 16:51:52 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 27.51 %
time: Fri Aug  2 16:51:53 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.743 %
time: Fri Aug  2 16:51:54 2019 | channel: НТВ | channel_confidence: 40 % | content_confidence: 0.743 %
time: Mon Aug  5 13:04:06 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.438 %
time: Mon Aug  5 13:04:07 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.438 %
time: Mon Aug  5 13:04:08 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 13:04:09 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 59.90 %
time: Mon Aug  5 13:04:09 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.109 %
time: Mon Aug  5 13:04:10 2019 | channel: Россия 1 | channel_confidence: 40 % | content_confidence: 0.343 %
time: Mon Aug  5 13:04:11 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.578 %
time: Mon Aug  5 13:04:12 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 13:04:13 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.213 %
time: Mon Aug  5 13:04:13 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 4.261 %
time: Mon Aug  5 13:04:14 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 2.500 %
time: Mon Aug  5 13:04:15 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.740 %
time: Mon Aug  5 13:04:16 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.929 %
time: Mon Aug  5 13:04:17 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.119 %
time: Mon Aug  5 13:04:17 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 24.21 %
time: Mon Aug  5 13:04:18 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 24.21 %
time: Mon Aug  5 13:04:19 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.188 %
time: Mon Aug  5 13:04:20 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.985 %
time: Mon Aug  5 13:04:21 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.782 %
time: Mon Aug  5 13:04:21 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 2.038 %
time: Mon Aug  5 13:04:22 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 3.295 %
time: Mon Aug  5 13:04:23 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 4.144 %
time: Mon Aug  5 13:04:24 2019 | channel: НТВ | channel_confidence: 40 % | content_confidence: 4.994 %
time: Mon Aug  5 13:04:25 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.677 %
time: Mon Aug  5 13:04:25 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 5.845 %
time: Mon Aug  5 13:04:26 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 10.01 %
time: Mon Aug  5 13:04:27 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 8.986 %
time: Mon Aug  5 13:04:28 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 8.986 %
time: Mon Aug  5 13:04:29 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.806 %
time: Mon Aug  5 13:04:29 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.978 %
time: Mon Aug  5 13:04:30 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 2.149 %
time: Mon Aug  5 13:04:31 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 1.234 %
time: Mon Aug  5 13:04:32 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.319 %
time: Mon Aug  5 13:04:33 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.343 %
time: Mon Aug  5 13:04:33 2019 | channel: Первый канал | channel_confidence: 40 % | content_confidence: 0.343 %
